model,dropout,rmse_bps,epp_bps,time_ms
AH,0.2,396.30307106203804,0.0,37.05000877380371
AH (PL),0.2,9903.689646770583,0.0,3551.058530807495
AH,0.2,2557.6529342886106,0.0,41.42189025878906
AH (PL),0.2,12618.72208706498,0.0,4022.9809284210205
AH,0.4,1099.8304481619264,0.0,29.509544372558594
AH (PL),0.4,11707.832389388415,0.0,2750.2739429473877
AH,0.4,2546.9285169970003,0.0,31.0060977935791
AH (PL),0.4,13038.582246339787,0.0,2821.8600749969482
AH,0.6,674.1140025396234,0.0,20.999431610107422
AH (PL),0.6,9791.53019161905,0.0,1986.2251281738281
AH,0.6,2811.4076317987833,0.0,20.51234245300293
AH (PL),0.6,10245.985679006562,0.0,1859.792709350586
AH,0.2,747.7938488582739,0.0,37.70041465759277
AH (PL),0.2,14467.55310149595,0.0,3473.9232063293457
AH,0.2,2960.3811431788645,0.0,41.22781753540039
AH (PL),0.2,9721.661441052987,0.0,3751.4336109161377
AH,0.4,730.6225965685928,0.0,30.009746551513672
AH (PL),0.4,14236.569511511721,0.0,2798.8646030426025
AH,0.4,2084.3916140944257,0.0,29.51836585998535
AH (PL),0.4,10600.687554770459,0.0,2764.298439025879
AH,0.6,1038.6344387900022,0.0,20.00737190246582
AH (PL),0.6,10240.33324395676,0.0,1884.622573852539
AH,0.6,730.3153749080086,0.0,18.51654052734375
AH (PL),0.6,8960.359895070207,0.0,1683.518409729004
AH,0.2,663.7000226897184,0.0,36.6969108581543
AH (PL),0.2,13032.325236032942,0.0,3396.592140197754
AH,0.2,1417.5416752213935,0.0,36.52048110961914
AH (PL),0.2,16722.582389690873,0.0,3530.1122665405273
AH,0.4,820.8557251028565,0.0,25.516986846923828
AH (PL),0.4,12547.319653051745,0.0,2389.5702362060547
AH,0.4,912.7883733308342,0.0,28.005599975585938
AH (PL),0.4,15515.023100963965,0.0,2604.2168140411377
AH,0.6,1233.7569774676626,0.0,27.509212493896484
AH (PL),0.6,14210.933102108987,0.0,1925.250768661499
