model,surface,rmse_bps,epp_bps,time_ms,epochs_trained,early_stopped
CINN (no ES),0,100.91947150841351,0.0,8762.054920196533,500,False
CINN (early stop),0,91.33480616889284,0.0,4994.453430175781,321,True
CINN (no ES),1,126.97223500247381,0.0,7564.450740814209,500,False
CINN (early stop),1,128.65613874900205,0.0,4833.396911621094,321,True
CINN (no ES),2,163.34464290293568,0.0,7666.951894760132,500,False
CINN (early stop),2,166.49030682187984,0.0,4837.90135383606,321,True
CINN (no ES),3,100.65023687731313,0.0,7666.607856750488,500,False
CINN (early stop),3,115.1206870344453,0.0,4795.870780944824,321,True
CINN (no ES),4,134.28062884986065,0.0,7522.380828857422,500,False
CINN (early stop),4,141.57625349282046,0.0,4821.3982582092285,321,True
CINN (no ES),5,111.11250182416111,0.0,14419.703006744385,500,False
CINN (early stop),5,109.7926166796323,0.0,9208.6923122406,321,True
CINN (no ES),6,208.6250435576183,0.0,7619.481086730957,500,False
CINN (early stop),6,229.71821104692924,0.0,4823.84181022644,321,True
CINN (no ES),7,135.03607421039973,0.0,7523.355722427368,500,False
CINN (early stop),7,119.23336161915513,0.0,4839.349269866943,321,True
CINN (no ES),8,241.76883803142735,0.0,7778.607606887817,500,False
CINN (early stop),8,199.0776646210611,0.0,4825.38104057312,321,True
CINN (no ES),9,124.04149081930464,0.0,7641.074657440186,500,False
CINN (early stop),9,110.63053354316116,0.0,4823.366403579712,321,True
CINN (no ES),10,159.9042847990095,0.0,7658.539533615112,500,False
CINN (early stop),10,143.37263345516212,0.0,4805.9210777282715,321,True
CINN (no ES),11,93.70217025694431,0.0,7581.389665603638,500,False
CINN (early stop),11,99.63550348124835,0.0,4945.45316696167,321,True
CINN (no ES),12,131.8758972126778,0.0,7500.936508178711,500,False
CINN (early stop),12,138.46602054729655,0.0,4827.4102210998535,321,True
CINN (no ES),13,140.65092004912773,0.0,7533.513784408569,500,False
CINN (early stop),13,139.55681258156565,0.0,5029.490232467651,321,True
CINN (no ES),14,221.65375631475942,0.0,14370.494365692139,500,False
CINN (early stop),14,206.32584435273736,0.0,9365.679264068604,321,True
CINN (no ES),15,163.6554852768246,0.0,7518.51487159729,500,False
CINN (early stop),15,157.68038222624912,0.0,4835.346221923828,321,True
CINN (no ES),16,91.99873049035834,0.0,7494.265079498291,500,False
CINN (early stop),16,165.73168107296084,0.0,4804.8415184021,321,True
CINN (no ES),17,129.72600056931003,0.0,7545.621871948242,500,False
CINN (early stop),17,135.6994949686877,0.0,4924.961090087891,321,True
CINN (no ES),18,93.25480946324866,0.0,7715.548276901245,500,False
CINN (early stop),18,130.52899304667488,0.0,4952.498435974121,321,True
CINN (no ES),19,254.27497620286755,0.0,7760.085821151733,500,False
CINN (early stop),19,116.30991241955884,0.0,5158.167600631714,321,True
CINN (no ES),20,130.78507798659143,0.0,8050.272703170776,500,False
CINN (early stop),20,209.50975321409558,0.0,5251.204967498779,321,True
CINN (no ES),21,197.777717089518,0.0,7729.50553894043,500,False
CINN (early stop),21,231.15592097698013,0.0,4860.882043838501,321,True
CINN (no ES),22,286.64805795783263,0.0,14594.341516494751,500,False
CINN (early stop),22,220.01497597394712,0.0,9406.184911727905,321,True
CINN (no ES),23,147.51137866354085,0.0,7820.127964019775,500,False
CINN (early stop),23,212.91019431743396,0.0,5156.141519546509,321,True
CINN (no ES),24,99.66819210502997,0.0,7948.603630065918,500,False
CINN (early stop),24,166.45374523011768,0.0,5004.063129425049,321,True
CINN (no ES),25,184.09587329848918,0.0,7999.870300292969,500,False
CINN (early stop),25,193.28476981227732,0.0,5189.197301864624,321,True
CINN (no ES),26,188.88095349176947,0.0,7865.875959396362,500,False
CINN (early stop),26,189.84666771066148,0.0,4867.867231369019,321,True
CINN (no ES),27,101.55363880290678,0.0,14583.734512329102,500,False
CINN (early stop),27,73.75861635976341,0.0,9294.146299362183,321,True
CINN (no ES),28,414.9452473559195,0.0,7854.743242263794,500,False
CINN (early stop),28,265.93922833095405,0.0,4844.8896408081055,321,True
CINN (no ES),29,157.18608086052413,0.0,7686.1255168914795,500,False
CINN (early stop),29,148.18809764568806,0.0,5088.829517364502,321,True
