model,dropout,surface,trial,rmse_bps,epp_bps,regime,asset,time_ms
SVI,0.2,0,0,777.788509493037,0.0,normal,EURUSD,
CINN,0.2,0,0,1257.1737997220189,0.0,normal,EURUSD,15994.540929794312
MLP,0.2,0,0,953.1109423652647,0.0,normal,EURUSD,9713.72675895691
SVI,0.2,0,1,766.222650217136,0.0,normal,EURUSD,
CINN,0.2,0,1,1308.14891945429,0.0,normal,EURUSD,10151.968240737915
MLP,0.2,0,1,894.5236677203694,0.0,normal,EURUSD,10496.04344367981
SVI,0.2,0,2,731.1349298265733,0.0,normal,EURUSD,
CINN,0.2,0,2,1618.120378804618,0.0,normal,EURUSD,11249.820709228516
MLP,0.2,0,2,1506.9628244067978,0.0,normal,EURUSD,9650.96926689148
SVI,0.4,0,0,553.3998822466258,0.0,normal,EURUSD,
CINN,0.4,0,0,985.7829199625846,0.0,normal,EURUSD,4739.317893981934
MLP,0.4,0,0,976.9916693602747,0.0,normal,EURUSD,5088.634252548218
SVI,0.4,0,1,681.098322484134,0.0,normal,EURUSD,
CINN,0.4,0,1,842.1544165260003,0.0,normal,EURUSD,5353.411436080933
MLP,0.4,0,1,1272.1292572713203,0.0,normal,EURUSD,5168.598413467407
SVI,0.4,0,2,816.2172227264368,0.0,normal,EURUSD,
CINN,0.4,0,2,1597.2392989934897,0.0,normal,EURUSD,5435.408353805542
MLP,0.4,0,2,1192.866071434471,0.0,normal,EURUSD,5006.902694702148
SVI,0.6,0,0,872.2137472195444,0.0,normal,EURUSD,
CINN,0.6,0,0,877.2407343186687,0.0,normal,EURUSD,6823.209047317505
MLP,0.6,0,0,1107.5800770238839,0.0,normal,EURUSD,6340.162754058838
SVI,0.6,0,1,855.7851705715682,0.0,normal,EURUSD,
CINN,0.6,0,1,2154.0041108988576,0.0,normal,EURUSD,7887.412309646606
MLP,0.6,0,1,1739.4182840597914,0.0,normal,EURUSD,5148.738861083984
SVI,0.6,0,2,755.0449139080933,0.0,normal,EURUSD,
CINN,0.6,0,2,1297.5941369870482,0.0,normal,EURUSD,5358.496427536011
MLP,0.6,0,2,1568.482160639109,56.05946562487141,normal,EURUSD,5161.881446838379
SVI,0.2,1,0,794.9694810479536,0.0,low_vol,EURUSD,
CINN,0.2,1,0,793.4504939035593,0.0,low_vol,EURUSD,10790.350914001465
MLP,0.2,1,0,811.7759106970758,0.0,low_vol,EURUSD,12156.934022903442
SVI,0.2,1,1,566.687603308057,0.0,low_vol,EURUSD,
CINN,0.2,1,1,550.0581996037954,0.0,low_vol,EURUSD,11202.7747631073
MLP,0.2,1,1,682.8487501990209,0.0,low_vol,EURUSD,11973.448991775513
SVI,0.2,1,2,880.0285757949282,0.0,low_vol,EURUSD,
CINN,0.2,1,2,851.4244473300397,0.0,low_vol,EURUSD,10949.142694473267
MLP,0.2,1,2,821.7001274840935,0.0,low_vol,EURUSD,10243.104934692383
SVI,0.4,1,0,752.0893303209131,0.0,low_vol,EURUSD,
CINN,0.4,1,0,1134.971618021816,1.4210854715202004e-10,low_vol,EURUSD,5349.080324172974
MLP,0.4,1,0,1629.7939678162218,0.0,low_vol,EURUSD,5171.781301498413
SVI,0.4,1,1,561.8688356917467,0.0,low_vol,EURUSD,
CINN,0.4,1,1,1927.699194749567,0.0,low_vol,EURUSD,5092.67520904541
MLP,0.4,1,1,1178.7940179723535,0.0,low_vol,EURUSD,5037.311553955078
SVI,0.4,1,2,961.3366666897757,0.0,low_vol,EURUSD,
CINN,0.4,1,2,983.8642437658193,0.0,low_vol,EURUSD,5015.983819961548
MLP,0.4,1,2,741.0513121951872,0.0,low_vol,EURUSD,5037.462949752808
SVI,0.6,1,0,697.2366872352309,0.0,low_vol,EURUSD,
CINN,0.6,1,0,808.7258462780107,0.0,low_vol,EURUSD,5925.859451293945
MLP,0.6,1,0,1351.8569993434069,0.0,low_vol,EURUSD,5196.368217468262
SVI,0.6,1,1,737.8238844715156,0.0,low_vol,EURUSD,
CINN,0.6,1,1,1068.5752227694177,0.0,low_vol,EURUSD,4825.143575668335
MLP,0.6,1,1,1000.0672749883829,53.015161832461466,low_vol,EURUSD,5124.233722686768
SVI,0.6,1,2,807.1697413400627,0.0,low_vol,EURUSD,
CINN,0.6,1,2,811.5914417758853,0.0,low_vol,EURUSD,6836.852073669434
MLP,0.6,1,2,827.0801749173788,0.0,low_vol,EURUSD,9353.424787521362
SVI,0.2,2,0,717.1131451885442,0.0,stress,EURUSD,
CINN,0.2,2,0,1341.8515113872754,0.0,stress,EURUSD,14148.265600204468
MLP,0.2,2,0,1521.3272081482169,0.0,stress,EURUSD,12876.331329345703
SVI,0.2,2,1,607.9755474066768,0.0,stress,EURUSD,
CINN,0.2,2,1,1471.5570330576472,0.0,stress,EURUSD,13018.580675125122
MLP,0.2,2,1,1758.441804146718,0.0,stress,EURUSD,12568.880081176758
SVI,0.2,2,2,802.6443534099145,0.0,stress,EURUSD,
CINN,0.2,2,2,1839.0832935368003,0.0,stress,EURUSD,12740.01932144165
MLP,0.2,2,2,2295.941481407129,0.0,stress,EURUSD,16439.889669418335
SVI,0.4,2,0,860.4761616259827,0.0,stress,EURUSD,
CINN,0.4,2,0,1782.2967288450313,0.0,stress,EURUSD,6708.049297332764
MLP,0.4,2,0,1957.8727085220703,0.0,stress,EURUSD,5433.279752731323
SVI,0.4,2,1,726.4715634268492,0.0,stress,EURUSD,
CINN,0.4,2,1,1808.5215299629815,0.0,stress,EURUSD,5424.217939376831
MLP,0.4,2,1,1965.2368970154225,0.0,stress,EURUSD,7743.205308914185
SVI,0.4,2,2,1379.412064756193,0.0,stress,EURUSD,
CINN,0.4,2,2,2139.6576297648926,0.0,stress,EURUSD,6029.011249542236
MLP,0.4,2,2,1869.1086754026073,0.0,stress,EURUSD,5695.727825164795
SVI,0.6,2,0,986.7130347862505,0.0,stress,EURUSD,
CINN,0.6,2,0,1603.7534571933068,0.0,stress,EURUSD,5292.877912521362
MLP,0.6,2,0,1557.9553427218232,0.0,stress,EURUSD,5488.004684448242
SVI,0.6,2,1,1415.4207220522233,0.0,stress,EURUSD,
CINN,0.6,2,1,1618.2163830669824,0.0,stress,EURUSD,5205.181837081909
MLP,0.6,2,1,1732.564550842326,0.0,stress,EURUSD,5090.623378753662
SVI,0.6,2,2,1458.5371456183525,0.0,stress,EURUSD,
CINN,0.6,2,2,1702.5385012803945,0.0,stress,EURUSD,5185.147047042847
MLP,0.6,2,2,1212.1845429568687,0.0,stress,EURUSD,5514.50252532959
SVI,0.2,3,0,613.4141143768284,0.0,normal,EURUSD,
CINN,0.2,3,0,1056.0414585302801,0.0,normal,EURUSD,11439.01515007019
MLP,0.2,3,0,1477.9830042088336,0.0,normal,EURUSD,11216.049432754517
SVI,0.2,3,1,725.4135833955444,0.0,normal,EURUSD,
CINN,0.2,3,1,1585.8687278466705,0.0,normal,EURUSD,10208.209753036499
MLP,0.2,3,1,1615.6529165629843,0.0,normal,EURUSD,11306.087970733643
SVI,0.2,3,2,632.524598899834,0.0,normal,EURUSD,
CINN,0.2,3,2,1021.6133487192358,0.0,normal,EURUSD,17256.916284561157
MLP,0.2,3,2,728.960719198862,0.0,normal,EURUSD,13642.369031906128
SVI,0.4,3,0,511.38711643123696,0.0,normal,EURUSD,
CINN,0.4,3,0,1255.8402831719343,0.0,normal,EURUSD,5236.717700958252
MLP,0.4,3,0,844.3691470873017,0.0,normal,EURUSD,6638.355016708374
SVI,0.4,3,1,525.205891669001,0.0,normal,EURUSD,
CINN,0.4,3,1,2080.479511166066,0.0,normal,EURUSD,5670.95160484314
MLP,0.4,3,1,1837.1693785729,0.0,normal,EURUSD,6398.484945297241
SVI,0.4,3,2,628.3044142800746,0.0,normal,EURUSD,
CINN,0.4,3,2,1016.9734711028646,0.0,normal,EURUSD,5251.179933547974
MLP,0.4,3,2,1647.2066854786774,0.0,normal,EURUSD,4741.594552993774
SVI,0.6,3,0,876.808119690993,0.0,normal,EURUSD,
