model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.2,0,0,657.8174337960688,0.0,4236.930131912231,178
ICNN,0.2,0,1,500.35294914882337,0.0,2851.64213180542,188
ICNN,0.2,0,2,725.4338489840378,0.0,2596.576690673828,156
ICNN,0.4,0,0,448.45938975278926,0.0,2855.701684951782,192
ICNN,0.4,0,1,624.3831052836504,0.0,2939.697027206421,201
ICNN,0.4,0,2,559.7985000205267,0.0,2584.416389465332,174
ICNN,0.6,0,0,467.00591051514124,0.0,3511.9504928588867,226
ICNN,0.6,0,1,849.5926622551689,0.0,2310.9395503997803,153
ICNN,0.6,0,2,447.9811373964902,0.0,2802.1059036254883,201
ICNN,0.2,1,0,673.8686149262458,0.0,3364.8266792297363,182
ICNN,0.2,1,1,418.2538340570968,0.0,2735.0780963897705,185
ICNN,0.2,1,2,974.169357478761,0.0,2786.58127784729,171
ICNN,0.4,1,0,825.3307094381162,0.0,3801.4183044433594,176
ICNN,0.4,1,1,639.8193472123339,0.0,6560.32395362854,174
ICNN,0.4,1,2,710.851975900212,0.0,4692.044973373413,198
ICNN,0.6,1,0,607.0049215618997,0.0,5116.833686828613,214
ICNN,0.6,1,1,656.554957853744,0.0,3047.6908683776855,188
ICNN,0.6,1,2,817.247969149418,0.0,3046.267509460449,164
ICNN,0.2,2,0,442.4534447142019,0.0,3257.965087890625,189
ICNN,0.2,2,1,430.91255309969523,0.0,2940.824508666992,213
ICNN,0.2,2,2,416.32158167137186,0.0,2518.9526081085205,186
ICNN,0.4,2,0,548.1130674945366,0.0,6123.649120330811,231
ICNN,0.4,2,1,474.39540818224145,0.0,4117.2192096710205,180
ICNN,0.4,2,2,495.09758463281753,0.0,4570.62840461731,198
ICNN,0.6,2,0,517.2954061643325,0.0,5570.780992507935,179
ICNN,0.6,2,1,437.3218876822612,0.0,8431.315422058105,181
ICNN,0.6,2,2,647.0224988412969,0.0,5043.658018112183,160
ICNN,0.2,3,0,414.3902277834931,0.0,8835.970401763916,179
ICNN,0.2,3,1,888.6259042970391,0.0,8320.841312408447,163
ICNN,0.2,3,2,410.41934900724726,0.0,4358.975887298584,171
ICNN,0.4,3,0,568.7781058963554,0.0,4370.299816131592,192
ICNN,0.4,3,1,727.7992006410494,0.0,2965.2299880981445,206
ICNN,0.4,3,2,479.1980388022276,0.0,2273.361921310425,184
ICNN,0.6,3,0,554.8568455813817,0.0,2083.80126953125,165
ICNN,0.6,3,1,815.4947819750001,0.0,1940.2766227722168,158
ICNN,0.6,3,2,561.9834418277387,0.0,2276.5493392944336,190
ICNN,0.2,4,0,860.5519619086655,0.0,2345.8666801452637,183
ICNN,0.2,4,1,721.8328454659054,0.0,3095.1526165008545,236
ICNN,0.2,4,2,712.7707047475972,0.0,2495.288848876953,194
ICNN,0.4,4,0,804.7924980672635,0.0,2245.3765869140625,178
ICNN,0.4,4,1,794.7917322955143,0.0,2080.2834033966064,166
ICNN,0.4,4,2,761.2090692982024,0.0,2464.432954788208,203
ICNN,0.6,4,0,802.9317947672074,0.0,2318.345785140991,187
ICNN,0.6,4,1,729.6934461310814,0.0,3076.184034347534,231
