model,dropout,rmse_bps,epp_bps,time_ms,epochs
ICNN,0.2,1079.480414679982,0.0,3377.614974975586,194
ICNN,0.4,1107.258074023333,0.0,1741.2724494934082,199
ICNN,0.6,1413.2796202541697,0.0,1896.913766860962,198
ICNN,0.2,1493.6953860595447,0.0,2051.1116981506348,200
ICNN,0.4,1449.7044068233986,0.0,1676.279067993164,192
ICNN,0.6,1334.5440839616376,0.0,1624.2549419403076,188
ICNN,0.2,1183.3223567569642,0.0,1659.7609519958496,196
ICNN,0.4,1199.3815677419307,0.0,1597.233772277832,193
ICNN,0.6,1138.2949677549134,0.0,1649.7855186462402,200
ICNN,0.2,1190.6118419422887,0.0,1897.937297821045,200
ICNN,0.4,1179.0317085062522,0.0,1772.3333835601807,188
ICNN,0.6,1216.2767231127073,0.0,1719.7926044464111,197
ICNN,0.2,1799.1596307515483,0.0,1654.2818546295166,196
ICNN,0.4,1889.3765889314238,0.0,1725.7823944091797,193
ICNN,0.6,1441.0736028643412,0.0,1760.5130672454834,200
ICNN,0.2,1388.4459434222317,0.0,1597.254991531372,188
ICNN,0.4,1404.2846304752038,0.0,1757.345199584961,191
ICNN,0.6,1290.7809969938635,0.0,1707.8027725219727,188
ICNN,0.2,1728.096662724757,0.0,1853.8954257965088,200
ICNN,0.4,1414.278493330783,0.0,1717.8301811218262,189
ICNN,0.6,1437.6194603214174,0.0,1825.8490562438965,197
ICNN,0.2,1620.708201609411,0.0,2118.0789470672607,200
ICNN,0.4,1428.1005271100844,0.0,1666.295051574707,196
ICNN,0.6,1535.0119224927005,0.0,1554.262399673462,197
ICNN,0.2,1370.4866571204657,0.0,1514.2242908477783,173
ICNN,0.4,1553.2626699478085,0.0,1382.6713562011719,188
ICNN,0.6,1266.331803772757,0.0,1599.8153686523438,199
ICNN,0.2,1026.1924907193031,0.0,1606.3282489776611,187
ICNN,0.4,1169.7962875587841,0.0,1310.1060390472412,186
ICNN,0.6,1488.2127995910653,0.0,1308.558464050293,194
